小姐,Miss; young lady,34,4,38,2.7,168,14,2025-08-15 17:39:19
几,how many,16,12,28,1.3,1,0,2025-08-11 19:34:01
椅子,chair,16,9,25,1.6,12,3,2025-08-12 06:37:15
里,inside,21,2,23,3.0,72,5,2025-08-14 18:28:13
会,can; be able to; will; meeting,14,11,25,1.3,1,0,2025-08-11 19:27:58
我,I; me,49,6,55,2.2,1,0,2025-08-11 19:28:59
块,yuan (currency),16,10,26,1.3,1,0,2025-08-11 19:36:22
请,please; to invite,11,18,29,1.3,1,0,2025-08-11 19:36:35
电影,movie,21,2,23,3.0,72,5,2025-08-14 18:31:37
来,come,21,1,22,3.1,168,6,2025-08-15 16:14:37
杯子,cup; glass,19,6,25,1.3,1,0,2025-08-11 19:35:42
水,water; liquid,25,0,25,3.1,168,6,2025-08-18 18:36:32
字,character; word,27,3,30,4.0,168,15,2025-08-15 17:39:19
爱,love,14,1,15,3.1,168,6,2025-08-18 18:35:51
下午,afternoon,39,2,41,2.3,12,3,2025-08-12 06:37:00
学生,student,26,4,30,2.4,168,11,2025-08-15 17:39:19
谢谢,thank you,14,0,14,2.4,72,5,2025-08-14 18:32:45
猫,cat,21,0,21,2.4,168,6,2025-08-18 18:31:04
了,(modal particle intensifying preceding clause); (completed action marker),9,17,26,1.3,1,0,2025-08-11 19:36:02
书,book,25,4,29,3.3,168,14,2025-08-15 17:39:19
有,have; there is,58,8,66,4.0,168,15,2025-08-15 17:39:19
菜,dish; vegetable,17,13,30,1.3,1,0,2025-08-11 19:29:24
再见,goodbye,17,8,25,1.6,12,3,2025-08-12 06:30:14
下雨,to rain,13,1,14,2.3,168,6,2025-08-18 18:36:51
九,nine,84,10,94,4.0,168,15,2025-08-15 17:39:19
